Year,COMMENT_OBS,SERIES,Sex,Value
2015,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,4.5
2016,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,4.4
2017,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,4.2
2018,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,4.0
2019,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,3.3
2020,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,3.2
2021,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,2.9
2022,Economic Survey,Proportion of population covered by at least one social protection benefit [1.3.1],,2.8
2015,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.4
2016,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.4
2017,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.4
2018,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.4
2019,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.3
2020,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.3
2021,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.3
2022,Economic Survey,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,0.3
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,78.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,63.0
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,57.3
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,56.4
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,55.9
2024,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,91.0
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,87.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,67.0
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,68.4
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,66.6
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,65.1
2018,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,67.3
2019,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,57.7
2020,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,45.6
2021,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,45.3
2022,,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,40.8
