Year,Sex,Age,Value
2020,,,0.268346
2021,,,0.897019
2022,,,0.971892
2023,,,0.774372
2024,,,1.22453
2020,Male,,0.313869
2021,Male,,1.605903
2022,Male,,1.69693
2023,Male,,1.248567
2024,Male,,2.442832
2020,Female,,0.223544
2021,Female,,0.199512
2022,Female,,0.258633
2023,Female,,0.307973
2024,Female,,0.026481
2020,,under 18 years old,0.217448
2021,,under 18 years old,0.248443
2022,,under 18 years old,0.617668
2023,,under 18 years old,0.273007
2024,,under 18 years old,0.131231
2020,,18 years old and over,0.308787
2021,,18 years old and over,1.400757
2022,,18 years old and over,1.241026
2023,,18 years old and over,1.147279
2024,,18 years old and over,2.021114
