Year,SERIES,Value
2014,Indicator of Food Price Anomalies (IFPA) [2.c.1],8.7
2015,Indicator of Food Price Anomalies (IFPA) [2.c.1],11.4
2016,Indicator of Food Price Anomalies (IFPA) [2.c.1],10.1
2017,Indicator of Food Price Anomalies (IFPA) [2.c.1],13.4
2018,Indicator of Food Price Anomalies (IFPA) [2.c.1],1.4
2019,Indicator of Food Price Anomalies (IFPA) [2.c.1],0.346487
2020,Indicator of Food Price Anomalies (IFPA) [2.c.1],0.179337
2021,Indicator of Food Price Anomalies (IFPA) [2.c.1],0.117423
2022,Indicator of Food Price Anomalies (IFPA) [2.c.1],2.339365
2023,Indicator of Food Price Anomalies (IFPA) [2.c.1],-0.194503
2024,Indicator of Food Price Anomalies (IFPA) [2.c.1],-0.423766
2019,Indicator of Food Price Anomalies - Maize,0.267181
2020,Indicator of Food Price Anomalies - Maize,0.366321
2021,Indicator of Food Price Anomalies - Maize,-0.451621
2022,Indicator of Food Price Anomalies - Maize,0.732774
2023,Indicator of Food Price Anomalies - Maize,-0.181758
2024,Indicator of Food Price Anomalies - Maize,-1.497974
2019,Indicator of Food Price Anomalies - Rice,-1.15004
2020,Indicator of Food Price Anomalies - Rice,-0.591863
2021,Indicator of Food Price Anomalies - Rice,0.161907
2022,Indicator of Food Price Anomalies - Rice,2.998686
2023,Indicator of Food Price Anomalies - Rice,0.93641
2024,Indicator of Food Price Anomalies - Rice,0.414964
2019,Indicator of Food Price Anomalies - Millet,0.501433
2020,Indicator of Food Price Anomalies - Millet,-0.338966
2021,Indicator of Food Price Anomalies - Millet,0.102964
2022,Indicator of Food Price Anomalies - Millet,0.01914
2023,Indicator of Food Price Anomalies - Millet,-1.078283
2024,Indicator of Food Price Anomalies - Millet,-0.153896
2019,Indicator of Food Price Anomalies - Wheat,0.554832
2020,Indicator of Food Price Anomalies - Wheat,-0.295069
2021,Indicator of Food Price Anomalies - Wheat,1.740646
2022,Indicator of Food Price Anomalies - Wheat,3.534038
2023,Indicator of Food Price Anomalies - Wheat,-0.336193
2019,Indicator of Food Price Anomalies - Sorghum,1.372354
2020,Indicator of Food Price Anomalies - Sorghum,-0.346259
2021,Indicator of Food Price Anomalies - Sorghum,-1.350883
2022,Indicator of Food Price Anomalies - Sorghum,-0.30607
2023,Indicator of Food Price Anomalies - Sorghum,0.596598
2024,Indicator of Food Price Anomalies - Sorghum,9.2e-05
