Year,COMMENT_OBS,SERIES,Degree of urbanisation,Value
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,,11.9
2016,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,,14.6
2018,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,,19.8
2019,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,,25.4
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,,34.4
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Rural,2.1
2016,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Rural,3.0
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Rural,11.1
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Urban,25.4
2016,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Urban,29.7
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of household with primary reliance on clean fuels and technology,Urban,71.5
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,12.3
2016,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,10.7
2019,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,25.1
2022,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,21.2
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,26.1
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Rural,1.6
2022,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Rural,4.9
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Rural,8.1
2014,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Urban,27.9
2022,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Urban,53.4
2024,2014: KDHS                  2016: KIHBS                2018:                            2019: KPHC                 2020: KCHS                2021: KCHS              2022 KDHS,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Urban,64.9
2024,2024: 2023/24 KHS,Proportion of household with primary reliance on clean fuels and technology for cooking,,33.3
2024,2024: 2023/24 KHS,Proportion of household with primary reliance on clean fuels and technology for cooking,Rural,10.6
2024,2024: 2023/24 KHS,Proportion of household with primary reliance on clean fuels and technology for cooking,Urban,69.5
2024,2024: 2023/24 KHS,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,25.0
2024,2024: 2023/24 KHS,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,7.6
2024,2024: 2023/24 KHS,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,62.5
