Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2014,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,44.0
2016,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,56.6
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,53.6
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,57.4
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,75.2
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,75.2
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,76.7
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,74.3
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,86.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,44.7
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,25.1
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,56.0
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,46.1
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,46.0
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,56.5
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,65.0
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,58.3
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,62.1
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.1
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,30.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,29.3
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,60.0
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,60.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,59.3
