Year,Sex,Degree of urbanisation,Education level,Value
2019,,,"Primary education, sufficient for level completion",17.5
2024,,,"Primary education, sufficient for level completion",14.2
2019,,Rural,"Primary education, sufficient for level completion",18.0
2024,,Rural,"Primary education, sufficient for level completion",15.6
2019,,Urban,"Primary education, sufficient for level completion",16.1
2024,,Urban,"Primary education, sufficient for level completion",9.9
2019,Female,,"Primary education, sufficient for level completion",17.4
2024,Female,,"Primary education, sufficient for level completion",12.8
2019,Male,,"Primary education, sufficient for level completion",17.6
2024,Male,,"Primary education, sufficient for level completion",15.5
2019,,,Secondary,31.3
2024,,,Secondary,41.2
2019,,Rural,Secondary,25.1
2024,,Rural,Secondary,37.9
2019,,Urban,Secondary,42.0
2024,,Urban,Secondary,47.1
2019,Female,,Secondary,31.2
2024,Female,,Secondary,40.4
2019,Male,,Secondary,31.3
2024,Male,,Secondary,42.2
