Year,COMMENT_OBS,SERIES,Education level,Value
2014,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,43.8
2015,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,71.7
2016,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,80.5
2019,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,97.0
2020,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,97.0
2023,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Primary education,87.4
2020,Basic Education Statistical Booklets,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Primary education,39.1
2022,Basic Education Statistical Booklets,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Primary education,42.9
2014,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Secondary,75.3
2015,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Secondary,83.3
2016,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Secondary,87.0
2021,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Secondary,100.0
2024,Basic Education Statistical Booklets,"Proportion of schools with access to electricity, by education level [4.a.1]",Secondary,99.0
2020,,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Secondary,34.0
2024,,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",Secondary,59.0
2021,Basic Education Statistical Booklet,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Secondary,67.0
2024,Basic Education Statistical Booklet,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",Secondary,60.0
