Year,Value,SERIES
2014,8.7,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2015,11.4,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2016,10.1,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2017,13.4,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2018,1.4,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2019,0.346487,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2020,0.179337,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2021,0.117423,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2022,2.339365,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2023,-0.194503,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2024,-0.423766,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2019,0.267181,Indicator of Food Price Anomalies - Maize
2020,0.366321,Indicator of Food Price Anomalies - Maize
2021,-0.451621,Indicator of Food Price Anomalies - Maize
2022,0.732774,Indicator of Food Price Anomalies - Maize
2023,-0.181758,Indicator of Food Price Anomalies - Maize
2024,-1.497974,Indicator of Food Price Anomalies - Maize
2019,-1.15004,Indicator of Food Price Anomalies - Rice
2020,-0.591863,Indicator of Food Price Anomalies - Rice
2021,0.161907,Indicator of Food Price Anomalies - Rice
2022,2.998686,Indicator of Food Price Anomalies - Rice
2023,0.93641,Indicator of Food Price Anomalies - Rice
2024,0.414964,Indicator of Food Price Anomalies - Rice
2019,0.501433,Indicator of Food Price Anomalies - Millet
2020,-0.338966,Indicator of Food Price Anomalies - Millet
2021,0.102964,Indicator of Food Price Anomalies - Millet
2022,0.01914,Indicator of Food Price Anomalies - Millet
2023,-1.078283,Indicator of Food Price Anomalies - Millet
2024,-0.153896,Indicator of Food Price Anomalies - Millet
2019,0.554832,Indicator of Food Price Anomalies - Wheat
2020,-0.295069,Indicator of Food Price Anomalies - Wheat
2021,1.740646,Indicator of Food Price Anomalies - Wheat
2022,3.534038,Indicator of Food Price Anomalies - Wheat
2023,-0.336193,Indicator of Food Price Anomalies - Wheat
2019,1.372354,Indicator of Food Price Anomalies - Sorghum
2020,-0.346259,Indicator of Food Price Anomalies - Sorghum
2021,-1.350883,Indicator of Food Price Anomalies - Sorghum
2022,-0.30607,Indicator of Food Price Anomalies - Sorghum
2023,0.596598,Indicator of Food Price Anomalies - Sorghum
2024,9.2e-05,Indicator of Food Price Anomalies - Sorghum
