Year,Value,SERIES
2014,0.9,Tourism direct GDP as a proportion of total GDP [8.9.1]
2015,0.9,Tourism direct GDP as a proportion of total GDP [8.9.1]
2016,0.9,Tourism direct GDP as a proportion of total GDP [8.9.1]
2017,1.0,Tourism direct GDP as a proportion of total GDP [8.9.1]
2018,1.1,Tourism direct GDP as a proportion of total GDP [8.9.1]
2019,1.2,Tourism direct GDP as a proportion of total GDP [8.9.1]
2020,0.7,Tourism direct GDP as a proportion of total GDP [8.9.1]
2021,1.1,Tourism direct GDP as a proportion of total GDP [8.9.1]
2022,1.1,Tourism direct GDP as a proportion of total GDP [8.9.1]
2023,1.3,Tourism direct GDP as a proportion of total GDP [8.9.1]
2024,1.6,Tourism direct GDP as a proportion of total GDP [8.9.1]
2014,-18.7,Tourism direct GDP in growth rate
2015,5.4,Tourism direct GDP in growth rate
2016,6.9,Tourism direct GDP in growth rate
2017,9.4,Tourism direct GDP in growth rate
2018,15.6,Tourism direct GDP in growth rate
2019,14.3,Tourism direct GDP in growth rate
2020,-47.7,Tourism direct GDP in growth rate
2021,52.6,Tourism direct GDP in growth rate
2022,26.8,Tourism direct GDP in growth rate
2023,33.6,Tourism direct GDP in growth rate
2024,25.7,Tourism direct GDP in growth rate
