Year,COMMENT_OBS,SERIES,URBANISATION,Value
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,,22.7
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,,28.3
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,,38.2
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,,71.0
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,R,25.5
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,R,29.5
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,R,36.6
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,R,57.7
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,U,20.6
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,U,27.9
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,U,40.7
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",_L_KE_060201_01,U,87.7
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,,24.7
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,,30.5
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,,40.9
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,,68.9
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,R,30.5
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,R,28.4
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,R,37.7
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,R,57.6
2014,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,U,21.6
2016,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,U,34.9
2022,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,U,47.3
2024,"2014: KDHS,   2016: KIHBS,  2022:KDHS",SH_SAN_SAFE,U,92.5
2014,2014: KDHS,_L_KE_060201_02,,16.6
2016,2014: KDHS,_L_KE_060201_02,,19.4
2022,2014: KDHS,_L_KE_060201_02,,51.0
2024,2014: KDHS,_L_KE_060201_02,,24.2
2014,2014: KDHS,_L_KE_060201_02,R,25.7
2016,2014: KDHS,_L_KE_060201_02,R,29.7
2022,2014: KDHS,_L_KE_060201_02,R,41.3
2024,2014: KDHS,_L_KE_060201_02,R,19.9
2014,2014: KDHS,_L_KE_060201_02,U,10.1
2016,2014: KDHS,_L_KE_060201_02,U,11.4
2022,2014: KDHS,_L_KE_060201_02,U,65.3
2024,2014: KDHS,_L_KE_060201_02,U,29.6
2016,"2014: KDHS,     2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,,17.4
2022,"2014: KDHS,     2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,,51.3
2024,"2014: KDHS,     2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,,22.9
2016,"2014: KDHS,      2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,R,29.5
2022,"2014: KDHS,      2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,R,43.0
2024,"2014: KDHS,      2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,R,19.5
2016,"2014: KDHS,        2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,U,10.6
2022,"2014: KDHS,        2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,U,67.6
2024,"2014: KDHS,        2016: KIHBS                2022: KDHS",SH_SAN_HNDWSH,U,30.0
