Year,SERIES,Value
2020,_L_KE_161001_01,105
2021,_L_KE_161001_01,54
2022,_L_KE_161001_01,18
2023,_L_KE_161001_01,64
2024,_L_KE_161001_01,68
2020,VC_VAW_MTUHRA,1
2021,VC_VAW_MTUHRA,4
2022,VC_VAW_MTUHRA,3
2023,VC_VAW_MTUHRA,9
2024,VC_VAW_MTUHRA,4
2020,_L_KE_161001_02,0
2021,_L_KE_161001_02,0
2022,_L_KE_161001_02,0
2023,_L_KE_161001_02,0
2024,_L_KE_161001_02,6
2020,VC_VOC_ENFDIS,2
2021,VC_VOC_ENFDIS,0
2022,VC_VOC_ENFDIS,0
2023,VC_VOC_ENFDIS,1
2024,VC_VOC_ENFDIS,2
2020,_L_KE_161001_03,96
2021,_L_KE_161001_03,36
2022,_L_KE_161001_03,12
2023,_L_KE_161001_03,5
2024,_L_KE_161001_03,25
2020,_L_KE_161001_04,0
2021,_L_KE_161001_04,0
2022,_L_KE_161001_04,0
2023,_L_KE_161001_04,1
2024,_L_KE_161001_04,17
2020,_L_KE_161001_05,6
2021,_L_KE_161001_05,14
2022,_L_KE_161001_05,3
2023,_L_KE_161001_05,48
2024,_L_KE_161001_05,14
