Year,COMMENT_OBS,SERIES,EDUCATION_LEV,Value
2014,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,43.8
2015,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,71.7
2016,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,80.5
2019,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,97.0
2020,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,97.0
2023,Basic Education Statistical Booklets,SE_ACS_ELECT,ISCED11_1,87.4
2020,Basic Education Statistical Booklets,SE_ACS_INTNT,ISCED11_1,39.1
2022,Basic Education Statistical Booklets,SE_ACS_INTNT,ISCED11_1,42.9
2014,Basic Education Statistical Booklets,SE_ACS_ELECT,_L_KE_3,75.3
2015,Basic Education Statistical Booklets,SE_ACS_ELECT,_L_KE_3,83.3
2016,Basic Education Statistical Booklets,SE_ACS_ELECT,_L_KE_3,87.0
2021,Basic Education Statistical Booklets,SE_ACS_ELECT,_L_KE_3,100.0
2024,Basic Education Statistical Booklets,SE_ACS_ELECT,_L_KE_3,99.0
2020,,SE_ACS_INTNT,_L_KE_3,34.0
2024,,SE_ACS_INTNT,_L_KE_3,59.0
2021,Basic Education Statistical Booklet,SE_ACS_CMPTR,_L_KE_3,67.0
2024,Basic Education Statistical Booklet,SE_ACS_CMPTR,_L_KE_3,60.0
