Year,COMMENT_OBS,SERIES,SEX,Value
2015,Economic Survey,SI_COV_BENFTS,,4.5
2016,Economic Survey,SI_COV_BENFTS,,4.4
2017,Economic Survey,SI_COV_BENFTS,,4.2
2018,Economic Survey,SI_COV_BENFTS,,4.0
2019,Economic Survey,SI_COV_BENFTS,,3.3
2020,Economic Survey,SI_COV_BENFTS,,3.2
2021,Economic Survey,SI_COV_BENFTS,,2.9
2022,Economic Survey,SI_COV_BENFTS,,2.8
2015,Economic Survey,SI_COV_DISAB,,0.4
2016,Economic Survey,SI_COV_DISAB,,0.4
2017,Economic Survey,SI_COV_DISAB,,0.4
2018,Economic Survey,SI_COV_DISAB,,0.4
2019,Economic Survey,SI_COV_DISAB,,0.3
2020,Economic Survey,SI_COV_DISAB,,0.3
2021,Economic Survey,SI_COV_DISAB,,0.3
2022,Economic Survey,SI_COV_DISAB,,0.3
2018,,SI_COV_PENSN,,78.3
2019,,SI_COV_PENSN,,63.0
2020,,SI_COV_PENSN,,57.3
2021,,SI_COV_PENSN,,56.4
2022,,SI_COV_PENSN,,55.9
2024,,SI_COV_PENSN,,91.0
2018,,SI_COV_PENSN,F,87.3
2019,,SI_COV_PENSN,F,67.0
2020,,SI_COV_PENSN,F,68.4
2021,,SI_COV_PENSN,F,66.6
2022,,SI_COV_PENSN,F,65.1
2018,,SI_COV_PENSN,M,67.3
2019,,SI_COV_PENSN,M,57.7
2020,,SI_COV_PENSN,M,45.6
2021,,SI_COV_PENSN,M,45.3
2022,,SI_COV_PENSN,M,40.8
