Year,SERIES,Value
2014,SP_ACS_BSRVH2O,60.3
2022,SP_ACS_BSRVH2O,67.9
2024,SP_ACS_BSRVH2O,76.6
2014,SP_ACS_BSRVSAN,24.7
2022,SP_ACS_BSRVSAN,40.9
2024,SP_ACS_BSRVSAN,71.0
2014,_L_KE_010401_01,16.6
2022,_L_KE_010401_01,51.3
2024,_L_KE_010401_01,24.2
2016,_L_KE_010401_02,33.8
2022,_L_KE_010401_02,49.6
2024,_L_KE_010401_02,65.5
2014,_L_KE_010401_03,11.9
2016,_L_KE_010401_03,14.6
2018,_L_KE_010401_03,19.8
2019,_L_KE_010401_03,25.4
2020,_L_KE_010401_03,23.1
2021,_L_KE_010401_03,27.2
2022,_L_KE_010401_03,21.2
2024,_L_KE_010401_03,34.4
