Year,COMMENT_OBS,SERIES,UNIT_MEASURE,Value
2014,KNBS,SG_REG_CENSUSN,BOOL,1.0
2015,KNBS,SG_REG_CENSUSN,BOOL,1.0
2016,KNBS,SG_REG_CENSUSN,BOOL,1.0
2017,KNBS,SG_REG_CENSUSN,BOOL,1.0
2018,KNBS,SG_REG_CENSUSN,BOOL,1.0
2019,KNBS,SG_REG_CENSUSN,BOOL,1.0
2020,KNBS,SG_REG_CENSUSN,BOOL,1.0
2021,KNBS,SG_REG_CENSUSN,BOOL,1.0
2022,KNBS,SG_REG_CENSUSN,BOOL,1.0
2023,KNBS,SG_REG_CENSUSN,BOOL,1.0
2024,KNBS,SG_REG_CENSUSN,BOOL,1.0
2014,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,70.2
2015,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,65.8
2016,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,64.1
2017,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,60.9
2018,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,73.4
2019,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,76.2
2020,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,79.9
2021,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,83.2
2022,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,80.6
2023,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,76.6
2024,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_01,PT,70.3
2014,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.8
2015,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.2
2016,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,41.9
2017,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,41.2
2018,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,40.5
2019,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,39.1
2020,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,42.3
2021,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,52.3
2022,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,47.6
2023,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,45.2
2024,"2019: KPHC, Others: Civil Registration Services",_L_KE_171902_02,PT,44.8
