Year,SEX,AGE,URBANISATION,Value
2014,,,,6.3
2016,,,,16.6
2019,,,,22.7
2023,,,,35.0
2019,,,R,13.8
2023,,,R,25.0
2019,,,U,42.6
2023,,,U,56.6
2019,F,,,20.2
2023,F,,,32.2
2019,M,,,25.2
2023,M,,,37.8
2019,,Y3T4,,2.1
2023,,Y3T4,,6.2
2019,,Y5T9,,2.7
2023,,Y5T9,,8.9
2019,,Y10T14,,4.0
2023,,Y10T14,,11.1
2019,,Y15T19,,18.9
2023,,Y15T19,,30.6
2019,,Y20T24,,48.2
2023,,Y20T24,,64.0
2019,,Y25T29,,47.9
2023,,Y25T29,,61.8
2019,,Y30T34,,41.0
2023,,Y30T34,,56.2
2019,,Y35T39,,37.9
2023,,Y35T39,,48.1
2019,,Y40T44,,32.4
2023,,Y40T44,,46.0
2019,,Y45T49,,28.8
2023,,Y45T49,,41.8
2019,,Y50T54,,26.1
2023,,Y50T54,,38.5
2019,,Y55T59,,20.8
2023,,Y55T59,,35.0
2019,,Y60T64,,15.1
2023,,Y60T64,,26.0
2019,,Y65T69,,10.6
2023,,Y65T69,,20.4
2019,,Y70T74,,7.6
2023,,Y70T74,,12.4
2019,,Y_GE75,,4.2
2023,,Y_GE75,,6.9
