Year,Value,SERIES
2014,8.7,AG_FPA_COMM
2015,11.4,AG_FPA_COMM
2016,10.1,AG_FPA_COMM
2017,13.4,AG_FPA_COMM
2018,1.4,AG_FPA_COMM
2019,0.346487,AG_FPA_COMM
2020,0.179337,AG_FPA_COMM
2021,0.117423,AG_FPA_COMM
2022,2.339365,AG_FPA_COMM
2023,-0.194503,AG_FPA_COMM
2024,-0.423766,AG_FPA_COMM
2019,0.267181,_L_KE_020C01_01
2020,0.366321,_L_KE_020C01_01
2021,-0.451621,_L_KE_020C01_01
2022,0.732774,_L_KE_020C01_01
2023,-0.181758,_L_KE_020C01_01
2024,-1.497974,_L_KE_020C01_01
2019,-1.15004,_L_KE_020C01_02
2020,-0.591863,_L_KE_020C01_02
2021,0.161907,_L_KE_020C01_02
2022,2.998686,_L_KE_020C01_02
2023,0.93641,_L_KE_020C01_02
2024,0.414964,_L_KE_020C01_02
2019,0.501433,_L_KE_020C01_03
2020,-0.338966,_L_KE_020C01_03
2021,0.102964,_L_KE_020C01_03
2022,0.01914,_L_KE_020C01_03
2023,-1.078283,_L_KE_020C01_03
2024,-0.153896,_L_KE_020C01_03
2019,0.554832,_L_KE_020C01_04
2020,-0.295069,_L_KE_020C01_04
2021,1.740646,_L_KE_020C01_04
2022,3.534038,_L_KE_020C01_04
2023,-0.336193,_L_KE_020C01_04
2019,1.372354,_L_KE_020C01_05
2020,-0.346259,_L_KE_020C01_05
2021,-1.350883,_L_KE_020C01_05
2022,-0.30607,_L_KE_020C01_05
2023,0.596598,_L_KE_020C01_05
2024,9.2e-05,_L_KE_020C01_05
