Year,Value,SERIES
2014,0.9,ST_GDP_ZS
2015,0.9,ST_GDP_ZS
2016,0.9,ST_GDP_ZS
2017,1.0,ST_GDP_ZS
2018,1.1,ST_GDP_ZS
2019,1.2,ST_GDP_ZS
2020,0.7,ST_GDP_ZS
2021,1.1,ST_GDP_ZS
2022,1.1,ST_GDP_ZS
2023,1.3,ST_GDP_ZS
2024,1.6,ST_GDP_ZS
2014,-18.7,_L_KE_080901_01
2015,5.4,_L_KE_080901_01
2016,6.9,_L_KE_080901_01
2017,9.4,_L_KE_080901_01
2018,15.6,_L_KE_080901_01
2019,14.3,_L_KE_080901_01
2020,-47.7,_L_KE_080901_01
2021,52.6,_L_KE_080901_01
2022,26.8,_L_KE_080901_01
2023,33.6,_L_KE_080901_01
2024,25.7,_L_KE_080901_01
